,cluster_id
812,3
813,0
814,2
815,2
816,1
817,1
818,1
819,0
820,3
821,0
822,3
823,1
824,3
825,3
826,3
827,0
828,3
829,1
830,2
831,2
832,1
833,3
834,3
835,1
836,3
837,2
838,2
839,2
840,3
841,2
842,0
843,2
844,2
845,2
846,2
847,1
848,1
849,2
850,1
851,0
852,1
853,0
854,0
855,3
856,0
857,0
858,3
859,1
860,1
861,1
862,2
863,2
864,0
865,0
866,3
867,1
868,2
869,3
870,2
871,1
872,3
873,2
874,0
875,0
876,3
877,2
878,1
879,2
880,1
881,3
882,2
883,0
884,2
885,0
886,3
887,3
888,3
889,1
890,3
891,2
892,1
893,0
894,2
895,0
896,3
897,1
898,0
899,2
900,2
901,1
902,1
903,0
904,0
905,0
906,1
907,2
908,1
909,2
910,0
911,3
912,1
913,3
914,1
915,1
916,1
917,0
918,2
919,0
920,0
921,3
922,3
923,2
924,3
925,0
926,0
927,3
928,3
929,1
930,0
931,2
932,1
933,0
934,0
935,2
936,1
937,2
938,0
939,1
940,1
941,3
942,3
943,0
944,0
945,3
946,3
947,0
948,3
949,1
950,2
951,2
952,3
953,2
954,0
955,0
956,3
957,3
958,3
959,0
960,1
961,2
962,2
963,2
964,3
965,3
966,1
967,2
968,1
969,3
970,2
971,1
972,3
973,1
974,3
975,2
976,0
977,2
978,0
979,1
980,0
981,0
982,0
983,2
984,3
985,1
986,2
987,2
988,3
989,1
990,1
991,1
992,1
993,0
994,1
995,0
996,3
997,3
998,3
999,3
1000,0
1001,2
1002,2
1003,0
1004,0
1005,3
1006,2
1007,0
1008,2
1009,1
1010,3
1011,3
1012,2
1013,0
1014,1
1015,2
1016,2
1017,0
1018,2
1019,3
1020,2
1021,3
1022,1
1023,3
1024,3
1025,3
1026,2
1027,2
1028,2
1029,0
1030,3
1031,1
1032,1
1033,3
1034,1
1035,3
1036,1
1037,2
1038,0
1039,2
1040,2
1041,3
1042,0
1043,0
1044,1
1045,0
1046,0
1047,2
1048,3
1049,3
1050,1
1051,3
1052,0
1053,0
1054,0
1055,2
1056,0
1057,3
1058,3
1059,2
1060,0
1061,3
1062,0
1063,3
1064,1
1065,1
1066,0
1067,2
1068,3
1069,3
1070,0
1071,3
1072,2
1073,0
1074,3
1075,2
1076,1
1077,1
1078,3
1079,2
1080,2
1081,0
1082,0
1083,1
1084,1
1085,0
1086,2
1087,1
1088,2
1089,3
1090,2
1091,2
1092,3
1093,1
1094,1
1095,3
1096,2
1097,3
1098,1
1099,0
1100,2
1101,2
1102,2
1103,1
1104,2
1105,1
1106,2
1107,0
1108,0
1109,2
1110,2
1111,0
1112,0
1113,2
1114,1
1115,3
1116,2
1117,2
1118,3
1119,1
1120,3
1121,0
1122,2
1123,0
1124,0
1125,1
1126,2
1127,2
1128,1
1129,1
1130,1
1131,3
1132,3
1133,3
1134,1
1135,2
1136,2
1137,0
1138,2
1139,3
1140,2
1141,0
1142,0
1143,1
1144,2
1145,0
1146,0
1147,1
1148,2
1149,3
1150,2
1151,1
1152,1
1153,3
1154,0
1155,3
1156,2
1157,2
1158,1
1159,3
1160,2
1161,1
1162,1
1163,3
1164,3
1165,0
1166,3
1167,2
1168,3
1169,3
1170,3
1171,2
1172,3
1173,1
1174,0
1175,2
1176,0
1177,2
1178,3
1179,2
1180,3
1181,3
1182,0
1183,2
1184,2
1185,0
1186,0
1187,3
1188,1
1189,1
1190,3
1191,1
1192,2
1193,2
1194,3
1195,2
1196,3
1197,0
1198,3
1199,2
1200,2
1201,3
1202,0
1203,1
1204,3
1205,0
1206,1
1207,1
1208,0
1209,0
1210,0
1211,2
1212,2
1213,0
1214,3
1215,0
1216,0
1217,3
1218,3
1219,1
1220,0
1221,0
1222,3
1223,0
1224,2
1225,3
1226,1
1227,3
1228,0
1229,2
1230,1
1231,2
1232,1
1233,3
1234,1
1235,0
1236,2
1237,1
1238,1
1239,2
1240,0
1241,0
1242,1
1243,0
1244,1
1245,2
1246,3
1247,3
1248,1
1249,0
1250,3
1251,2
1252,3
1253,2
1254,3
1255,1
1256,3
1257,3
1258,3
1259,3
1260,1
1261,0
1262,1
1263,0
1264,0
1265,1
1266,1
1267,2
1268,1
1269,3
1270,2
1271,2
1272,0
1273,1
1274,3
1275,2
1276,2
1277,2
1278,1
1279,1
1280,0
1281,3
1282,3
1283,2
1284,2
1285,3
1286,2
1287,3
1288,0
1289,3
1290,1
1291,0
1292,0
1293,3
1294,3
1295,0
1296,0
1297,0
1298,3
1299,1
1300,0
1301,3
1302,0
1303,3
1304,3
1305,1
1306,3
1307,0
1308,0
1309,3
1310,3
1311,0
1312,1
1313,1
1314,2
1315,0
1316,0
1317,2
1318,1
1319,0
1320,1
1321,3
1322,2
1323,2
1324,2
1325,0
1326,1
1327,3
1328,1
1329,2
1330,2
1331,3
1332,2
1333,0
1334,1
1335,3
1336,3
1337,0
1338,2
1339,1
1340,0
1341,1
1342,2
1343,1
1344,2
1345,2
1346,0
1347,1
1348,2
1349,3
1350,3
1351,1
1352,2
1353,0
1354,2
1355,0
1356,0
1357,3
1358,3
1359,3
1360,0
1361,1
1362,2
1363,0
1364,2
1365,2
1366,0
1367,2
1368,1
1369,3
1370,2
1371,2
1372,0
1373,1
1374,0
1375,2
1376,2
1377,3
1378,3
1379,3
1380,1
1381,3
1382,2
1383,2
1384,3
1385,0
1386,1
1387,3
1388,3
1389,1
1390,1
1391,3
1392,0
1393,3
1394,1
1395,0
1396,3
1397,0
1398,1
1399,1
1400,1
1401,2
1402,1
1403,2
1404,0
1405,2
1406,0
1407,3
1408,2
1409,0
1410,2
1411,0
1412,1
1413,0
1414,2
1415,2
1416,2
1417,0
1418,0
1419,0
1420,2
1421,0
1422,2
1423,3
1424,0
1425,3
1426,2
1427,1
1428,1
1429,0
1430,1
1431,1
1432,1
1433,2
1434,2
1435,3
1436,1
1437,0
1438,3
1439,0
1440,2
1441,0
1442,0
1443,3
1444,3
1445,1
1446,2
1447,0
1448,0
1449,3
1450,0
1451,1
1452,0
1453,1
1454,2
1455,3
1456,2
1457,1
1458,2
1459,3
1460,2
1461,0
1462,2
1463,0
1464,1
1465,1
1466,2
1467,1
1468,2
1469,2
1470,2
1471,2
1472,2
1473,3
1474,3
1475,2
1476,1
1477,0
1478,2
1479,1
1480,2
1481,2
1482,2
1483,1
1484,1
1485,2
1486,2
1487,1
1488,1
1489,2
1490,2
1491,1
1492,2
1493,3
1494,0
1495,2
1496,3
1497,3
1498,2
1499,0
1500,1
1501,0
1502,2
1503,1
1504,2
1505,0
1506,1
1507,2
1508,3
1509,2
1510,0
1511,1
1512,3
1513,2
1514,3
1515,2
1516,2
1517,1
1518,2
1519,2
1520,1
1521,2
1522,1
1523,0
1524,0
1525,1
1526,2
1527,2
1528,2
1529,1
1530,2
1531,1
1532,2
1533,1
1534,0
1535,1
1536,1
1537,1
1538,3
1539,0
1540,0
1541,0
1542,3
1543,2
1544,3
1545,0
1546,0
1547,0
1548,1
1549,1
1550,1
1551,1
1552,3
1553,1
1554,2
1555,2
1556,1
1557,2
1558,1
1559,2
1560,2
1561,3
1562,1
1563,2
1564,3
1565,1
1566,2
1567,3
1568,2
1569,0
1570,1
1571,2
1572,1
1573,2
1574,0
1575,2
1576,2
1577,1
1578,2
1579,0
1580,2
1581,2
1582,3
1583,0
1584,1
1585,1
1586,1
1587,1
1588,1
1589,3
1590,3
1591,3
1592,1
1593,3
1594,1
1595,1
1596,2
1597,2
1598,3
1599,0
1600,3
1601,2
1602,1
1603,3
1604,2
1605,2
1606,0
1607,3
1608,3
1609,1
1610,2
1611,2
1612,3
1613,3
1614,2
1615,0
1616,2
1617,2
1618,2
1619,2
1620,2
1621,3
1622,0
1623,0
1624,3
1625,0
1626,3
1627,1
1628,0
1629,1
1630,3
1631,3
1632,2
1633,2
1634,2
1635,1
1636,2
1637,2
1638,2
1639,3
1640,0
1641,2
1642,1
1643,3
1644,1
1645,3
1646,1
1647,3
1648,1
1649,0
1650,2
1651,0
1652,0
1653,1
1654,3
1655,2
1656,0
1657,2
1658,2
1659,1
1660,2
1661,1
1662,3
1663,1
1664,2
1665,3
1666,1
1667,3
1668,2
1669,0
1670,0
1671,3
1672,1
1673,3
1674,2
1675,1
1676,1
1677,2
1678,2
1679,1
1680,3
1681,3
1682,3
1683,1
1684,1
1685,3
1686,0
1687,1
1688,2
1689,3
1690,0
1691,2
1692,0
1693,2
1694,3
1695,3
1696,2
1697,3
1698,0
1699,3
1700,0
1701,1
1702,2
1703,0
1704,1
1705,2
1706,3
1707,0
1708,3
1709,1
1710,1
1711,1
1712,2
1713,2
1714,1
1715,1
1716,3
1717,0
1718,0
1719,3
1720,1
1721,3
1722,3
1723,0
1724,2
1725,0
1726,3
1727,1
1728,3
1729,0
1730,2
1731,1
1732,3
1733,1
1734,1
1735,2
1736,2
1737,2
1738,1
1739,0
1740,1
1741,3
1742,2
1743,1
1744,1
1745,2
1746,2
1747,3
1748,3
1749,0
1750,3
1751,0
1752,0
1753,0
1754,1
1755,2
1756,1
1757,1
1758,1
1759,3
1760,1
1761,1
1762,2
1763,3
1764,1
1765,1
1766,1
1767,2
1768,0
1769,3
1770,0
1771,1
1772,1
1773,0
1774,2
1775,2
1776,1
1777,2
1778,0
1779,3
1780,1
1781,1
1782,2
1783,2
1784,2
1785,2
1786,3
1787,2
1788,2
1789,0
1790,0
1791,3
1792,2
1793,3
1794,0
1795,1
1796,0
1797,1
1798,1
1799,3
1800,0
1801,0
1802,2
1803,0
1804,2
1805,0
1806,3
1807,2
1808,3
1809,1
1810,2
1811,1
1812,0
1813,2
1814,0
1815,2
1816,0
1817,0
1818,2
1819,0
1820,1
1821,1
1822,1
1823,3
1824,1
1825,0
1826,2
1827,2
1828,3
1829,2
1830,2
1831,3
1832,3
1833,1
1834,2
1835,0
1836,3
1837,1
1838,1
1839,3
1840,3
1841,0
1842,2
1843,3
1844,3
1845,3
1846,0
1847,0
1848,1
1849,3
1850,1
1851,1
1852,3
1853,2
1854,1
1855,3
1856,2
1857,2
1858,0
1859,3
1860,0
1861,0
1862,3
1863,1
1864,1
1865,1
1866,1
1867,1
1868,0
1869,0
1870,0
1871,2
1872,3
1873,3
1874,2
1875,2
1876,3
1877,0
1878,2
1879,1
1880,0
1881,0
1882,2
1883,0
1884,3
1885,1
1886,1
1887,1
1888,2
1889,0
1890,3
1891,3
1892,3
1893,3
1894,0
1895,2
1896,0
1897,3
1898,2
1899,2
1900,0
1901,1
1902,1
1903,1
1904,0
1905,3
1906,3
1907,3
1908,0
1909,2
1910,2
1911,0
1912,1
1913,2
1914,2
1915,2
1916,0
1917,3
1918,2
1919,0
1920,3
1921,2
1922,1
1923,1
1924,2
1925,0
1926,1
1927,2
1928,3
1929,2
1930,0
1931,1
1932,2
1933,3
1934,2
1935,1
1936,3
1937,3
1938,0
1939,1
1940,3
1941,3
1942,3
1943,2
1944,3
1945,3
1946,3
1947,2
1948,2
1949,2
1950,3
1951,3
1952,3
1953,2
1954,2
1955,3
1956,2
1957,0
1958,1
1959,2
1960,0
1961,3
1962,3
1963,0
1964,2
1965,0
1966,2
1967,2
1968,1
1969,0
1970,3
1971,1
1972,1
1973,3
1974,0
1975,2
1976,3
1977,2
1978,1
1979,0
1980,2
1981,2
1982,2
1983,0
1984,0
1985,1
1986,0
1987,3
1988,2
1989,1
1990,0
1991,1
1992,2
1993,0
1994,3
1995,3
1996,0
1997,0
1998,1
1999,1
2000,0
2001,2
2002,2
2003,0
2004,3
2005,3
2006,3
2007,2
2008,3
2009,3
2010,0
2011,2
2012,2
2013,2
2014,0
2015,3
2016,0
2017,1
2018,0
2019,3
2020,0
2021,1
2022,3
2023,0
2024,0
2025,3
2026,1
2027,0
2028,2
2029,1
2030,2
2031,2
2032,2
2033,0
2034,0
2035,1
2036,0
2037,3
2038,2
2039,0
2040,3
2041,1
2042,2
2043,2
2044,3
2045,3
2046,0
2047,3
2048,2
2049,1
2050,1
2051,2
2052,0
2053,3
2054,2
2055,3
2056,0
2057,0
2058,1
2059,3
2060,1
2061,2
2062,3
2063,3
2064,0
2065,0
2066,2
2067,3
2068,1
2069,1
2070,1
2071,1
2072,1
2073,0
2074,1
2075,3
2076,3
2077,0
2078,2
2079,0
2080,0
2081,0
2082,3
2083,3
2084,3
2085,1
2086,1
2087,2
2088,3
2089,0
2090,2
2091,1
2092,0
2093,2
2094,3
2095,2
2096,2
2097,1
2098,0
2099,0
2100,1
2101,3
2102,1
2103,1
2104,2
2105,0
2106,2
2107,0
2108,2
2109,1
2110,1
2111,2
2112,3
2113,1
2114,3
2115,1
2116,2
2117,1
2118,3
2119,1
2120,2
2121,3
2122,0
2123,1
2124,2
2125,2
2126,0
2127,3
2128,1
2129,2
2130,1
2131,0
2132,1
2133,0
2134,1
2135,2
2136,2
2137,2
2138,0
2139,2
2140,3
2141,1
2142,0
2143,2
2144,0
2145,3
2146,1
2147,0
2148,3
2149,2
2150,2
2151,0
2152,0
2153,3
2154,2
2155,0
2156,2
2157,1
2158,2
2159,0
2160,1
2161,2
2162,0
2163,1
2164,0
2165,2
2166,3
2167,0
2168,0
2169,2
2170,1
2171,2
2172,1
2173,1
2174,2
2175,1
2176,3
2177,1
2178,3
2179,3
2180,3
2181,0
2182,1
2183,1
2184,2
2185,1
2186,0
2187,2
2188,3
2189,1
2190,1
2191,1
2192,2
2193,3
2194,1
2195,2
2196,1
2197,3
2198,2
2199,3
2200,3
2201,1
2202,2
2203,1
2204,3
2205,3
2206,2
2207,0
2208,3
2209,3
2210,1
2211,3
2212,0
2213,3
2214,3
2215,0
2216,3
2217,3
2218,0
2219,0
2220,0
2221,1
2222,2
2223,2
2224,1
2225,2
2226,3
2227,2
2228,2
2229,2
2230,3
2231,0
2232,0
2233,1
2234,0
2235,2
2236,0
2237,2
2238,2
2239,1
2240,0
2241,2
2242,2
2243,3
2244,0
2245,0
2246,0
2247,0
2248,3
2249,3
2250,3
2251,0
2252,0
2253,1
2254,1
2255,1
2256,2
2257,2
2258,2
2259,3
2260,2
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,2
2268,2
2269,1
2270,2
2271,1
2272,0
2273,2
2274,1
2275,3
2276,1
2277,3
2278,1
2279,0
2280,2
2281,2
2282,2
2283,2
2284,1
2285,0
2286,3
2287,2
2288,0
2289,3
2290,0
2291,2
2292,2
2293,2
2294,2
2295,3
2296,0
2297,2
2298,3
2299,0
2300,2
2301,2
2302,3
2303,0
2304,1
2305,2
2306,1
2307,0
2308,0
2309,0
2310,1
2311,1
2312,3
2313,2
2314,0
2315,1
2316,3
2317,2
2318,0
2319,0
2320,2
2321,0
2322,1
2323,2
2324,1
2325,0
2326,2
2327,3
2328,3
2329,3
2330,1
2331,2
2332,2
2333,3
2334,1
2335,0
2336,1
2337,2
2338,2
2339,3
2340,0
2341,1
2342,3
2343,2
2344,3
2345,2
2346,3
2347,3
2348,1
2349,1
2350,0
2351,1
2352,1
2353,1
2354,0
2355,2
2356,3
2357,2
2358,2
2359,1
2360,2
2361,3
2362,3
2363,2
2364,2
2365,2
2366,0
2367,2
2368,3
2369,0
2370,1
2371,1
2372,3
2373,3
2374,3
2375,0
2376,1
2377,1
2378,2
2379,0
2380,1
2381,3
2382,0
2383,3
2384,0
2385,1
2386,3
2387,3
2388,1
2389,2
2390,3
2391,1
2392,2
2393,3
2394,1
2395,0
2396,2
2397,1
2398,1
2399,1
2400,3
2401,2
2402,3
2403,1
2404,2
2405,1
2406,2
2407,1
2408,2
2409,1
2410,2
2411,2
2412,1
2413,2
2414,1
2415,3
2416,3
2417,0
2418,0
2419,2
2420,1
2421,0
2422,3
2423,3
2424,1
2425,1
2426,3
2427,1
2428,0
2429,3
2430,3
2431,0
2432,0
2433,1
2434,3
2435,3
2436,2
2437,2
2438,1
2439,1
2440,1
2441,3
2442,0
2443,2
2444,2
2445,3
2446,0
2447,1
2448,3
2449,2
2450,3
2451,3
2452,2
2453,3
2454,0
2455,3
2456,2
2457,2
2458,1
2459,2
2460,2
2461,0
2462,1
2463,1
2464,0
2465,3
2466,0
2467,3
2468,3
2469,3
2470,3
2471,0
2472,1
2473,2
2474,3
2475,1
2476,1
2477,0
2478,3
2479,1
2480,3
2481,1
2482,1
2483,1
2484,1
2485,2
2486,3
2487,0
2488,2
2489,0
2490,3
2491,3
2492,2
2493,2
2494,2
2495,2
2496,0
2497,2
2498,0
2499,3
2500,0
2501,2
2502,0
2503,1
2504,2
2505,3
2506,1
2507,3
2508,3
2509,1
2510,3
2511,3
2512,2
2513,0
2514,3
2515,0
2516,0
2517,0
2518,0
2519,1
2520,0
2521,0
2522,0
2523,2
2524,3
2525,2
2526,0
2527,2
2528,2
2529,1
2530,1
2531,3
2532,3
2533,3
2534,0
2535,2
2536,2
2537,2
2538,1
2539,2
2540,1
2541,1
2542,3
2543,0
2544,1
2545,0
2546,0
2547,2
2548,0
2549,2
2550,1
2551,1
2552,1
2553,2
2554,2
2555,0
2556,0
2557,2
2558,2
2559,0
2560,2
2561,3
2562,1
2563,0
2564,1
2565,1
2566,1
2567,1
2568,1
2569,1
2570,2
2571,0
2572,3
2573,1
2574,0
2575,1
2576,1
2577,2
2578,1
2579,0
2580,0
2581,1
2582,1
2583,0
2584,3
2585,3
2586,0
2587,0
2588,0
2589,1
2590,2
2591,0
2592,1
2593,1
2594,3
2595,3
2596,0
2597,1
2598,0
2599,3
2600,1
2601,3
2602,2
2603,1
2604,3
2605,1
2606,3
2607,3
2608,3
2609,3
2610,1
2611,1
2612,3
2613,1
2614,3
2615,1
2616,0
2617,3
2618,3
2619,0
2620,0
2621,3
2622,2
2623,1
2624,2
2625,1
2626,3
2627,1
2628,2
2629,1
2630,3
2631,0
2632,0
2633,1
2634,3
2635,1
2636,3
2637,2
2638,0
2639,3
2640,2
2641,3
2642,3
2643,2
2644,2
2645,0
2646,0
2647,1
2648,0
2649,0
2650,2
2651,3
2652,2
2653,1
2654,0
2655,0
2656,1
2657,3
2658,1
2659,2
2660,0
2661,3
2662,3
2663,1
2664,3
2665,1
2666,2
2667,0
2668,3
2669,1
2670,2
2671,3
2672,1
2673,1
2674,1
2675,2
2676,3
2677,0
2678,1
2679,1
2680,3
2681,1
2682,2
2683,3
2684,0
2685,1
2686,1
2687,0
2688,1
2689,1
2690,0
2691,1
2692,0
2693,1
2694,2
2695,3
2696,1
2697,2
2698,0
2699,3
2700,0
2701,3
2702,3
2703,0
2704,3
2705,3
2706,1
2707,2
2708,0
2709,3
2710,3
2711,3
2712,0
2713,2
2714,3
2715,0
2716,3
2717,3
2718,0
2719,3
2720,1
2721,2
2722,2
2723,0
2724,2
2725,3
2726,2
2727,2
2728,3
2729,1
2730,0
2731,0
2732,1
2733,3
2734,2
2735,3
2736,3
2737,2
2738,3
2739,1
2740,3
2741,2
2742,3
2743,2
2744,0
2745,1
2746,0
2747,3
2748,2
2749,3
2750,1
2751,3
2752,2
2753,0
2754,3
2755,2
2756,1
2757,2
2758,1
2759,2
2760,2
2761,3
2762,3
2763,1
2764,0
2765,1
2766,0
2767,0
2768,3
2769,2
2770,3
2771,1
2772,2
2773,0
2774,2
2775,0
2776,3
2777,2
2778,2
2779,2
2780,0
2781,3
2782,2
2783,0
2784,0
2785,1
2786,1
2787,3
2788,0
2789,0
2790,0
2791,3
2792,1
2793,2
2794,0
2795,1
2796,1
2797,2
2798,3
2799,3
2800,1
2801,3
2802,2
2803,2
2804,3
2805,1
2806,2
2807,3
2808,1
2809,1
2810,0
2811,1
2812,1
2813,2
2814,1
2815,1
2816,1
2817,3
2818,3
2819,1
2820,2
2821,3
2822,3
2823,3
2824,1
2825,2
2826,0
2827,2
2828,2
2829,0
2830,2
2831,3
2832,3
2833,3
2834,1
2835,2
2836,1
2837,0
2838,1
2839,3
2840,0
2841,1
2842,1
2843,2
2844,0
2845,0
2846,2
2847,0
2848,3
2849,3
2850,2
2851,2
2852,1
2853,1
2854,2
2855,0
2856,3
2857,1
2858,2
2859,3
2860,2
2861,1
2862,2
2863,1
2864,0
2865,2
2866,2
2867,0
2868,1
2869,1
2870,1
2871,3
2872,2
2873,2
2874,3
2875,3
2876,1
2877,3
2878,1
2879,1
2880,0
2881,1
2882,2
2883,0
2884,2
2885,3
2886,0
2887,3
2888,2
2889,2
2890,0
2891,2
2892,0
2893,0
2894,0
2895,3
2896,1
2897,1
2898,1
2899,3
2900,2
2901,3
2902,1
2903,0
2904,2
2905,0
2906,1
2907,0
2908,3
2909,2
2910,3
2911,0
2912,3
2913,0
2914,0
2915,0
2916,0
2917,2
2918,3
2919,0
2920,3
2921,1
2922,0
2923,1
2924,1
2925,2
2926,1
2927,3
2928,0
2929,2
2930,3
2931,0
2932,0
2933,2
2934,3
2935,3
2936,3
2937,3
2938,1
2939,3
2940,0
2941,3
2942,0
2943,3
2944,2
2945,2
2946,1
2947,1
2948,0
2949,0
2950,0
2951,0
2952,0
2953,3
2954,0
2955,2
2956,3
2957,2
2958,1
2959,3
2960,0
2961,3
2962,3
2963,3
2964,0
2965,1
2966,0
2967,3
2968,2
2969,0
2970,3
2971,1
2972,3
2973,2
2974,1
2975,1
2976,1
2977,1
2978,3
2979,0
2980,1
2981,3
2982,2
2983,1
2984,2
2985,3
2986,2
2987,2
2988,2
2989,2
2990,1
2991,1
2992,1
2993,2
2994,0
2995,2
2996,0
